time,particles 03um,particles 05um,particles 10um,particles 25um,particles 50um,particles 100um,Temperature C,Gas Ohm,Humidity %%,Pressure hPa,Altitude meters
1772058789,240,66,16,0,0,0,24.42726563,180769,51.84553048,1008.039153,43.47446908
1772058790,240,66,16,0,0,0,24.4315625,180215,51.83314403,1008.025697,43.58697368
1772058791,234,62,16,0,0,0,24.43410156,180584,51.82052762,1008.016826,43.66113576
1772058792,234,62,16,0,0,0,24.44171875,187537,51.80857832,1008.004913,43.76073856
1772058793,234,62,16,0,0,0,24.4425,180399,51.81515522,1008.000629,43.79655687
1772058794,252,66,18,0,0,0,24.43039063,187740,51.80061795,1008.005482,43.75598232
1772058795,252,66,18,0,0,0,24.41964844,188763,51.7862617,1008.012483,43.69744916
1772058796,252,66,18,0,0,0,24.40246094,189278,51.75164516,1008.009353,43.72361993
1772058797,228,58,16,0,0,0,24.39152344,187944,51.71785551,1008.008696,43.72910813
1772058799,228,58,16,0,0,0,24.38546875,189485,51.7041217,1008.01204,43.70115392
1772058800,228,58,16,0,0,0,24.38175781,188455,51.71010596,1008.006207,43.74992041
1772058801,216,54,14,0,0,0,24.37941406,189692,51.69685889,1008.006197,43.75000064
1772058802,216,54,14,0,0,0,24.38429688,189692,51.71043849,1008.004686,43.7626337
1772058803,216,54,14,0,0,0,24.39171875,188557,51.72435188,1008.01084,43.71118141
1772058804,192,44,16,0,0,0,24.39367188,189278,51.73107879,1008.01391,43.68551512
1772058805,192,44,16,0,0,0,24.39171875,190527,51.74376562,1008.014515,43.68046127
1772058806,192,44,16,0,0,0,24.39347656,190632,51.73752447,1008.026464,43.58056161
1772058807,150,34,14,0,0,0,24.39152344,190527,51.74374002,1008.027068,43.57550815
1772058808,150,34,14,0,0,0,24.39816406,190737,51.76402625,1008.024645,43.59576265
1772058809,150,34,14,0,0,0,24.40578125,190737,51.76502478,1008.029269,43.55710559
1772058810,114,26,12,2,0,0,24.41652344,189175,51.77937871,1008.009409,43.72315314
1772058811,114,26,12,2,0,0,24.42882813,190318,51.78746568,1008.004863,43.76115328
1772058812,114,26,12,2,0,0,24.43664063,190842,51.807912,1007.993257,43.85818939
1772058813,138,34,12,2,0,0,24.44328125,191263,51.83468228,1008.00002,43.80165248
1772058814,138,34,12,2,0,0,24.44464844,191157,51.85428838,1008.000331,43.79904878
1772058815,138,34,12,2,0,0,24.45070313,190004,51.8486076,1007.995148,43.8423818
1772058816,138,34,12,2,0,0,24.46007813,190213,51.86926723,1007.991508,43.87281226
1772058817,138,34,12,2,0,0,24.46925781,189900,51.8963815,1007.982049,43.95190005
1772058818,138,34,12,2,0,0,24.47472656,190842,51.89062271,1007.979619,43.97221645
1772058819,150,40,12,2,0,0,24.48488281,190842,51.8984351,1007.971694,44.03848171
1772058820,150,40,12,2,0,0,24.49816406,190527,51.93257334,1007.976028,44.00224091
1772058821,150,40,12,2,0,0,24.51144531,190422,51.96023893,1007.97485,44.01209534
1772058822,138,38,10,2,0,0,24.52589844,191157,51.97510202,1007.981024,43.9604688
1772058823,138,38,10,2,0,0,24.53449219,189589,51.98271429,1007.976153,44.00119577
1772058824,138,38,10,2,0,0,24.53605469,190004,51.94403738,1007.978609,43.98066671
1772058825,120,34,10,2,0,0,24.54582031,191686,51.93236314,1007.975578,44.00600134
1772058826,120,34,10,2,0,0,24.55910156,191157,51.91467294,1007.972559,44.03124479
1772058827,120,34,10,2,0,0,24.57042969,191157,51.89672712,1007.968308,44.06679115
1772058828,144,42,12,2,0,0,24.57960938,190947,51.8914562,1007.973544,44.02301389
1772058829,144,42,12,2,0,0,24.58859375,191368,51.87320384,1007.976635,43.99716984
1772058830,144,42,12,2,0,0,24.59835938,191263,51.8680104,1007.97544,44.00716061
1772058831,144,42,12,2,0,0,24.60753906,191263,51.85626265,1007.980675,43.96339046
1772058832,144,42,12,2,0,0,24.61632813,190947,51.85094113,1007.970593,44.04768065
1772058833,144,42,12,2,0,0,24.62492188,191686,51.83264043,1007.967556,44.07307776
1772058834,144,44,12,2,0,0,24.63527344,190422,51.84047817,1007.965442,44.09075261
1772058835,144,44,12,2,0,0,24.64542969,191792,51.85476826,1007.959345,44.14173125
1772058836,144,44,12,2,0,0,24.658125,192431,51.84996061,1007.955398,44.17472836
1772058837,180,56,14,2,0,0,24.66886719,190422,51.80603612,1007.953896,44.18728745
1772058838,180,56,14,2,0,0,24.67921875,193290,51.7814943,1007.955456,44.17424736
1772058839,180,56,14,2,0,0,24.69132813,192111,51.74423769,1007.961615,44.12275265
1772058840,204,60,12,0,0,0,24.70558594,192431,51.70726969,1007.961958,44.11988093
1772058841,204,60,12,0,0,0,24.71730469,192218,51.68291841,1007.967502,44.07352636
1772058842,204,60,12,0,0,0,24.72238281,192859,51.63181518,1007.955261,44.17587637
1772058843,192,56,14,0,0,0,24.73429688,193506,51.59455935,1007.959273,44.14233212
