time,pm10 standard,pm25 standard,pm100 standard,pm10 env,pm25 env,pm100 env,03um,05um,10um,25um,50um,100um,temp,gas,humidity,pressure,altitude
1772061349.3066316,2,3,3,2,3,3,534,140,20,0,0,0,17.896796875,204466,71.2525140471026,1008.538032191947,39.30442017319543
1772061351.3191314,2,3,3,2,3,3,534,140,20,0,0,0,17.883125,205924,71.25737334762125,1008.533754661466,39.34016826525256
1772061353.3321595,2,3,3,2,3,3,522,136,21,0,0,0,17.8653515625,205679,71.24759231358888,1008.5354131727613,39.32630777330357
1772061355.344109,2,3,3,2,3,3,522,136,21,0,0,0,17.84875,206537,71.25199366481523,1008.5281540686077,39.386973613305386
1772061357.3564527,2,3,3,2,3,3,522,136,21,0,0,0,17.8341015625,206169,71.27769958105131,1008.5331090266429,39.345563962328356
1772061359.3681564,2,3,3,2,3,3,648,140,21,0,0,0,17.8290234375,207155,71.35391647024686,1008.5212049985913,39.445048764907426
1772061361.3799171,2,3,3,2,3,3,648,140,21,0,0,0,17.8341015625,206414,71.47378350373563,1008.502424381959,39.602004792262136
1772061363.3916724,2,3,3,2,3,3,648,140,21,0,0,0,17.8407421875,206414,71.63602610791446,1008.4789752768434,39.797980294564056
1772061365.4046853,2,3,3,2,3,3,642,140,20,0,0,0,17.845234375,205436,71.74894208290671,1008.4917269599669,39.69140785929459
1772061367.4163997,2,3,3,2,3,3,642,140,20,0,0,0,17.8462109375,207031,71.79820572198668,1008.486101849413,39.73841969369622
1772061369.4281955,2,3,3,2,3,3,642,140,20,0,0,0,17.84796875,207279,71.79146585065641,1008.4673125243498,39.89545292663063
1772061371.4412546,2,2,2,2,2,2,654,130,21,0,0,0,17.848359375,207527,71.76346385690204,1008.4715605144246,39.85994981479674
1772061373.4541836,2,2,2,2,2,2,654,130,21,0,0,0,17.84796875,208526,71.7634024236257,1008.4528724044658,40.01613895187874
1772061375.4659793,2,2,2,2,2,2,654,130,21,0,0,0,17.8419140625,208150,71.73439065061667,1008.4736691902789,39.84232633585298
1772061377.4762244,2,2,2,2,2,2,591,119,15,0,0,0,17.835078125,206907,71.69824689236327,1008.4787496279919,39.79986616897878
