timestamp,pm1_mean,pm1_err,pm25_mean,pm25_err,pm10_mean,pm10_err
1776901803.8583672,3.0,0.0,5.5,0.5,8.0,0.0
1776901807.8558798,3.0,0.0,6.0,0.0,8.0,0.0
1776901811.9073482,4.0,0.0,6.0,0.0,8.0,0.0
1776901815.8785238,4.0,0.0,6.0,0.0,8.5,0.5
1776901819.887194,4.0,0.0,6.0,0.0,9.0,0.0
1776901823.934828,3.0,0.0,6.0,0.0,9.0,0.0
1776901827.9321468,3.5,0.5,6.5,0.5,8.5,0.5
1776901831.9230201,4.0,0.0,7.0,0.0,8.0,0.0
1776901835.9840193,3.0,0.0,6.0,0.0,7.0,0.0
1776901839.971618,3.5,0.5,6.5,0.5,7.0,0.0
1776901843.9706373,4.0,0.0,7.0,0.0,7.0,0.0
1776901847.9782243,4.0,0.0,7.0,0.0,8.0,0.0
1776901852.0204954,4.0,0.0,7.0,0.0,8.0,0.0
1776901856.0114608,4.0,0.0,7.0,0.0,8.0,0.0
1776901860.0070755,5.0,0.0,8.0,0.0,9.5,0.5
1776901864.0529954,5.0,0.0,7.5,0.5,10.0,0.0
1776901868.0567594,5.0,0.0,7.0,0.0,9.0,0.0
1776901872.0735884,4.0,0.0,7.0,0.0,9.0,0.0
1776901876.0553892,4.0,0.0,7.0,0.0,8.5,0.5
1776901880.0769837,4.0,0.0,7.0,0.0,8.0,0.0
1776901884.0932178,5.0,0.0,7.0,0.0,7.0,0.0
1776901888.09629,5.0,0.0,7.0,0.0,7.5,0.5
1776901892.137277,5.0,0.0,7.0,0.0,8.0,0.0
1776901896.135283,5.0,0.0,8.0,0.0,8.0,0.0
1776901900.1395204,5.0,0.0,7.5,0.5,8.0,0.0
1776901904.138853,5.0,0.0,7.0,0.0,8.0,0.0
1776901908.1442277,4.0,0.0,6.0,0.0,7.0,0.0
1776901912.1584551,4.0,0.0,6.0,0.0,7.0,0.0
1776901916.16381,4.0,0.0,6.0,0.0,7.0,0.0
1776901920.220839,4.0,0.0,6.0,0.0,6.0,0.0
1776901924.2059126,4.0,0.0,6.0,0.0,6.0,0.0
1776901928.2261891,4.0,0.0,6.0,0.0,6.0,0.0
1776901932.2395296,4.0,0.0,6.0,0.0,6.0,0.0
1776901936.2426105,4.0,0.0,6.0,0.0,6.0,0.0
1776901940.239527,4.0,0.0,6.0,0.0,6.0,0.0
1776901944.2851782,4.0,0.0,6.0,0.0,7.0,0.0
1776901948.2821202,4.0,0.0,5.5,0.5,6.5,0.5
1776901952.2854083,4.0,0.0,5.0,0.0,6.0,0.0
1776901956.2821307,4.0,0.0,6.0,0.0,6.0,0.0
1776901960.2926116,4.0,0.0,6.0,0.0,7.0,1.0
1776901964.350043,4.0,0.0,6.0,0.0,8.0,0.0
1776901968.3568728,4.0,0.0,6.0,0.0,8.0,0.0
1776901972.3700376,4.0,0.0,6.0,0.0,8.5,0.5
1776901976.3708951,4.0,0.0,6.0,0.0,9.0,0.0
1776901980.369971,4.0,0.0,6.0,0.0,9.0,0.0
1776901984.3756733,4.0,0.0,6.5,0.5,10.0,1.0
1776901988.3886924,4.0,0.0,7.0,0.0,11.0,0.0
1776901992.4332135,4.0,0.0,6.0,0.0,9.0,0.0
1776901996.4401424,4.0,0.0,6.5,0.5,9.5,0.5
1776902000.443609,4.0,0.0,7.0,0.0,11.0,0.0
1776902004.4534504,4.0,0.0,7.0,0.0,10.5,0.5
1776902008.473258,4.0,0.0,6.5,0.5,9.5,0.5
1776902012.4994247,4.0,0.0,6.0,0.0,9.0,0.0
1776902016.499585,3.0,0.0,6.0,0.0,9.0,0.0
1776902020.5081785,3.0,0.0,6.0,0.0,8.0,1.0
1776902024.5022972,3.0,0.0,6.0,0.0,7.0,0.0
1776902028.5579772,3.0,0.0,6.0,0.0,7.0,0.0
1776902032.534259,3.0,0.0,6.5,0.5,7.5,0.5
1776902036.572848,3.0,0.0,7.0,0.0,8.0,0.0
1776902040.5709448,3.0,0.0,7.0,0.0,8.0,0.0
1776902044.5807002,3.0,0.0,6.5,0.5,7.0,1.0
1776902048.5975947,3.0,0.0,6.0,0.0,6.0,0.0
1776902052.5922039,3.0,0.0,6.0,0.0,6.0,0.0
1776902056.6299806,3.0,0.0,6.0,0.0,6.5,0.5
1776902060.6210709,3.0,0.0,6.0,0.0,7.0,0.0
1776902064.6407387,3.0,0.0,6.0,0.0,8.0,0.0
1776902068.6429589,3.5,0.5,6.5,0.5,8.0,0.0
1776902072.6558707,4.0,0.0,7.0,0.0,8.0,0.0
1776902076.683194,4.0,0.0,6.0,0.0,8.0,0.0
1776902080.6732976,4.0,0.0,6.0,0.0,8.0,0.0
1776902084.6863704,4.0,0.0,6.0,0.0,8.0,0.0
1776902088.6856945,4.0,0.0,6.0,0.0,8.0,0.0
1776902092.7295082,4.0,0.0,6.0,0.0,8.0,0.0
1776902096.7549334,4.0,0.0,6.0,0.0,8.0,0.0
1776902100.7119808,4.0,0.0,7.0,0.0,9.0,0.0
1776902104.7535112,4.0,0.0,7.0,0.0,9.0,0.0
1776902108.7645864,4.0,0.0,7.0,0.0,9.0,0.0
1776902112.763623,4.0,0.0,7.0,0.0,9.0,0.0
1776902116.779633,4.0,0.0,7.0,0.0,9.0,0.0
1776902120.7817733,4.0,0.0,7.0,0.0,9.0,0.0
1776902124.7708597,4.0,0.0,7.0,0.0,8.0,0.0
1776902128.7852755,3.5,0.5,7.0,0.0,8.0,0.0
1776902132.8001745,3.0,0.0,7.0,0.0,8.0,0.0
1776902136.825914,4.0,0.0,8.0,0.0,8.0,0.0
1776902140.8276613,4.0,0.0,8.0,0.0,8.5,0.5
