timestamp,cps,cps_err,usv_hr
1776902294.3266222,0.0,0.0,0.0
1776902296.3420398,0.0,0.0,0.0
1776902298.3359642,0.0,0.0,0.0
1776902300.3508716,1.0,0.7071067811865476,0.012534
1776902302.3762925,0.5,0.5,0.006267
1776902304.4034963,0.5,0.5,0.006267
1776902306.4247813,1.5,0.8660254037844386,0.018801
1776902308.460835,0.0,0.0,0.0
1776902310.429089,0.5,0.5,0.006267
1776902312.4479902,0.5,0.5,0.006267
1776902314.495595,1.0,0.7071067811865476,0.012534
1776902316.4700918,0.0,0.0,0.0
1776902318.491737,0.5,0.5,0.006267
1776902320.5072842,0.0,0.0,0.0
1776902322.5409882,0.5,0.5,0.006267
1776902324.5151184,0.5,0.5,0.006267
1776902326.5402596,0.5,0.5,0.006267
1776902328.5562127,0.5,0.5,0.006267
1776902330.583053,1.5,0.8660254037844386,0.018801
1776902332.606745,0.0,0.0,0.0
1776902334.6257427,0.0,0.0,0.0
1776902336.6027374,0.5,0.5,0.006267
1776902338.6169853,0.0,0.0,0.0
1776902340.6356947,0.0,0.0,0.0
1776902342.6746752,0.0,0.0,0.0
1776902344.687674,0.5,0.5,0.006267
1776902346.6713164,0.0,0.0,0.0
1776902348.6859293,1.0,0.7071067811865476,0.012534
1776902350.7004297,1.0,0.7071067811865476,0.012534
1776902352.730608,0.0,0.0,0.0
1776902354.7497094,0.0,0.0,0.0
1776902356.7852578,0.5,0.5,0.006267
1776902358.7702525,0.0,0.0,0.0
1776902360.785864,0.0,0.0,0.0
1776902362.8234794,0.0,0.0,0.0
1776902364.7892578,0.0,0.0,0.0
1776902366.81656,0.5,0.5,0.006267
1776902368.8425996,0.0,0.0,0.0
1776902370.8638558,0.0,0.0,0.0
1776902372.8855784,0.5,0.5,0.006267
1776902374.861108,0.0,0.0,0.0
1776902376.8885868,0.0,0.0,0.0
1776902378.9091933,0.0,0.0,0.0
1776902380.9214556,0.5,0.5,0.006267
1776902382.9432557,0.0,0.0,0.0
1776902384.9697113,0.5,0.5,0.006267
1776902386.9429803,0.5,0.5,0.006267
1776902388.9605885,0.0,0.0,0.0
1776902390.9975133,0.0,0.0,0.0
1776902393.0150182,0.0,0.0,0.0
1776902395.0354898,0.0,0.0,0.0
1776902397.0346193,0.0,0.0,0.0
1776902399.0509486,0.5,0.5,0.006267
1776902401.0716324,0.5,0.5,0.006267
1776902403.0540605,0.5,0.5,0.006267
1776902405.0709188,0.5,0.5,0.006267
1776902407.1097634,1.0,0.7071067811865476,0.012534
1776902409.0993316,0.0,0.0,0.0
1776902411.1135712,0.0,0.0,0.0
1776902413.1403587,0.0,0.0,0.0
1776902415.1403198,0.5,0.5,0.006267
1776902417.193966,0.5,0.5,0.006267
1776902419.180082,0.0,0.0,0.0
1776902421.2232814,0.5,0.5,0.006267
1776902423.1998632,0.0,0.0,0.0
1776902425.2133052,0.0,0.0,0.0
1776902427.266341,0.0,0.0,0.0
1776902429.2316592,0.0,0.0,0.0
1776902431.2485485,0.0,0.0,0.0
1776902433.2871947,0.0,0.0,0.0
1776902435.3112912,0.0,0.0,0.0
1776902437.2881796,0.0,0.0,0.0
1776902439.304178,0.5,0.5,0.006267
1776902441.3475242,0.0,0.0,0.0
1776902443.3282404,0.0,0.0,0.0
1776902445.3455973,0.0,0.0,0.0
1776902447.378088,0.0,0.0,0.0
1776902449.3936374,0.5,0.5,0.006267
1776902451.4163945,0.5,0.5,0.006267
1776902453.427524,0.0,0.0,0.0
1776902455.4580464,0.0,0.0,0.0
1776902457.435749,0.0,0.0,0.0
1776902459.4749725,0.5,0.5,0.006267
1776902461.4933808,0.0,0.0,0.0
1776902463.5123289,0.0,0.0,0.0
1776902465.5049934,1.0,0.7071067811865476,0.012534
1776902467.531017,0.5,0.5,0.006267
1776902469.54343,0.0,0.0,0.0
1776902471.5447142,0.0,0.0,0.0
1776902473.5613053,0.0,0.0,0.0
1776902475.606133,0.0,0.0,0.0
1776902477.6008308,0.5,0.5,0.006267
1776902479.6165276,1.0,0.7071067811865476,0.012534
1776902481.6008675,0.0,0.0,0.0
1776902483.6200948,0.0,0.0,0.0
1776902485.6371067,0.0,0.0,0.0
1776902487.6725686,0.5,0.5,0.006267
1776902489.6914997,0.0,0.0,0.0
1776902491.6725454,0.0,0.0,0.0
1776902493.7129414,0.0,0.0,0.0
1776902495.7328756,0.5,0.5,0.006267
1776902497.7089171,0.0,0.0,0.0
1776902499.7487073,0.5,0.5,0.006267
1776902501.7768497,0.0,0.0,0.0
1776902503.7943444,0.0,0.0,0.0
1776902505.7866378,0.0,0.0,0.0
1776902507.8204648,0.0,0.0,0.0
1776902509.8403914,0.5,0.5,0.006267
1776902511.8391893,0.0,0.0,0.0
